11;1113031123;100; ; ; ; ;17707,85;
11;1113031123;101; ; ; ; ;7378,26;
11;1113031123;102; ; ; ; ;4426,95;
10;1113034123;02;2;  ;11130341;2; ;3;527,50;
11;1113034123;100; ; ; ; ;316,51;
11;1113034123;101; ; ; ; ;131,87;
11;1113034123;102; ; ; ; ;79,12;
10;1118011123;02;2;  ;11180111;2; ;3;3549,33;
11;1118011123;100; ; ; ; ;2129,60;
11;1118011123;101; ; ; ; ;887,33;
11;1118011123;102; ; ; ; ;532,40;
10;1118011223;02;2;  ;11180112;2; ;3;10,06;
11;1118011223;100; ; ; ; ;6,03;
11;1118011223;101; ; ; ; ;2,52;
11;1118011223;102; ; ; ; ;1,51;
10;1118011323;02;2;  ;11180113;2; ;3;491,22;
11;1118011323;100; ; ; ; ;294,73;
11;1118011323;101; ; ; ; ;122,81;
11;1118011323;102; ; ; ; ;73,68;
10;1118011423;02;2;  ;11180114;2; ;3;292,28;
11;1118011423;100; ; ; ; ;175,37;
11;1118011423;101; ; ; ; ;73,07;
11;1118011423;102; ; ; ; ;43,84;
10;1118014123;02;2;  ;11180141;2; ;3;34236,43;
11;1118014123;100; ; ; ; ;20541,86;
11;1118014123;101; ; ; ; ;8559,11;
11;1118014123;102; ; ; ; ;5135,46;
10;1118023123;02;2;  ;11180231;2; ;3;15398,75;
11;1118023123;100; ; ; ; ;9239,36;
11;1118023123;101; ; ; ; ;3849,63;
11;1118023123;102; ; ; ; ;2309,76;
10;1122011123;02;2;  ;11220111;2; ;3;37147,13;
11;1122011123;100; ; ; ; ;37147,13;
10;1128019123;02;2;  ;11280191;2; ;3;11108,55;
11;1128019123;100; ; ; ; ;11108,55;
10;1240001123;02;2;  ;12400011;2; ;3;30791,13;
11;1240001123;117; ; ; ; ;30791,13;
10;1321001123;02;2;  ;13210011;2; ;3;3344,78;
11;1321001123;100; ; ; ; ;1195,30;
11;1321001123;101; ; ; ; ;65,31;
11;1321001123;102; ; ; ; ;129,79;
11;1321001123;116; ; ; ; ;4,65;
11;1321001123;117; ; ; ; ;5,91;
11;1321001123;118; ; ; ; ;302,32;
11;1321001123;122; ; ;1;02012020;0,89;
11;1321001123;122; ; ;6985;01112018;2,05;
11;1321001123;123; ; ;2;02012020;10,68;
11;1321001123;124; ; ;66;01092019;110,22;
11;1321001123;124; ; ;7210338;01012019;22,93;
11;1321001123;124; ; ;104160042;01062018;45,02;
11;1321001123;129; ; ; ; ;232,26;
11;1321001123;144; ; ; ; ;0,86;
11;1321001123;145; ; ; ; ;14,12;
11;1321001123;146; ; ; ; ;2,39;
11;1321001123;147; ; ; ; ;14,10;
11;1321001123;153; ; ; ; ;75,94;
11;1321001123;154; ; ; ; ;31,73;
11;1321001123;155; ; ; ; ;0,11;
11;1321001123;159; ; ; ; ;1072,52;
11;1321001123;190; ; ; ; ;0,04;
11;1321001123;192; ; ; ; ;5,64;
10;1718012123;02;2;  ;17180121;2; ;3;771898,97;
11;1718012123;100; ; ; ; ;463139,38;
11;1718012123;101; ; ; ; ;192974,74;
11;1718012123;102; ; ; ; ;115784,85;
10;951718012123;02;1;95;17180121;2; ;3;154382,78;
11;951718012123;101; ; ; ; ;154382,78;
10;1718026123;02;2;  ;17180261;2; ;3;12189,54;
11;1718026123;100; ; ; ; ;12189,54;
10;1718031123;02;2;  ;17180311;2; ;3;79950,24;
11;1718031123;159; ; ; ; ;79950,24;
10;1718033123;02;2;  ;17180331;2; ;3;5468,79;
11;1718033123;159; ; ; ; ;5468,79;
10;1718034123;02;2;  ;17180341;2; ;3;9213,00;
11;1718034123;159; ; ; ; ;9213,00;
10;1718039123;02;2;  ;17180391;2; ;3;3400,00;
11;1718039123;154; ; ; ; ;3400,00;
10;1718051123;02;2;  ;17180511;2; ;3;24918,85;
11;1718051123;147; ; ; ; ;24918,85;
10;1718121123;02;2;  ;17181211;2; ;3;10451,48;
11;1718121123;129; ; ; ; ;10451,48;
10;172801111193;02;2;  ;17280111;1;2019;3;34718,17;
11;172801111193;100; ; ; ; ;20830,90;
11;172801111193;101; ; ; ; ;8679,54;
11;172801111193;102; ; ; ; ;5207,73;
10;1728011123;02;2;  ;17280111;2; ;3;163049,84;
11;1728011123;100; ; ; ; ;97829,91;
11;1728011123;101; ; ; ; ;40762,46;
11;1728011123;102; ; ; ; ;24457,47;
10;951728011123;02;1;95;17280111;2; ;3;39553,57;
11;951728011123;101; ; ; ; ;39553,57;
10;172801211193;02;2;  ;17280121;1;2019;3;14384,83;
11;172801211193;100; ; ; ; ;8630,90;
11;172801211193;101; ; ; ; ;3596,21;
11;172801211193;102; ; ; ; ;2157,72;
10;1728012123;02;2;  ;17280121;2; ;3;176273,26;
11;1728012123;100; ; ; ; ;105763,95;
11;1728012123;101; ; ; ; ;44068,32;
11;1728012123;102; ; ; ; ;26440,99;
10;951728012123;02;1;95;17280121;2; ;3;38131,49;
11;951728012123;101; ; ; ; ;38131,49;
10;1728013123;02;2;  ;17280131;2; ;3;1854,92;
11;1728013123;100; ; ; ; ;1112,95;
11;1728013123;101; ; ; ; ;463,73;
11;1728013123;102; ; ; ; ;278,24;
10;951728013123;02;1;95;17280131;2; ;3;370,98;
11;951728013123;101; ; ; ; ;370,98;
10;1728014123;02;2;  ;17280141;2; ;3;2599,14;
11;1728014123;116; ; ; ; ;2599,14;
10;1728031123;02;2;  ;17280311;2; ;3;3200,00;
11;1728031123;155; ; ; ; ;3200,00;
10;1758011123;02;2;  ;17580111;2; ;3;259153,27;
11;1758011123;118; ; ; ; ;218984,51;
11;1758011123;119; ; ; ; ;40168,76;
10;1928029123;02;2;  ;19280291;2; ;3;2836,64;
11;1928029123;100; ; ; ; ;2836,64;
10;1990991123;02;2;  ;19909911;2; ;3;15,56;
11;1990991123;100; ; ; ; ;15,56;